time,millis,duty,freq,v_pa,i_pa,v_ba,i_ba,meter_v_pa,meter_i_pa,meter_v_ba,meter_i_ba
1679544850.5475128,1500,0.1,50000.0,20.406975,0.130863,41.437679,0.096699,20.40391,-0.237906,40.01066,0.099527
1679544853.1076894,3000,0.1,50000.0,20.406046,0.22096,42.553829,0.055028,20.39847,-0.24762,40.01173,0.117261
1679544855.5474555,4500,0.11,50000.0,20.393969,0.332256,41.561405,0.06121,20.39557,-0.257795,40.01234,0.121533
1679544857.9871042,6000,0.11,50000.0,20.406975,0.194903,42.645966,0.134706,20.3896,-0.30399,40.01449,0.141711
1679544860.4275584,7500,0.12,50000.0,20.383751,0.2744,42.559093,0.080672,20.37779,-0.399857,40.01973,0.186563
1679544862.86714,1500,0.1,50000.0,20.408833,0.12468,41.448208,0.076779,20.37779,-0.442362,40.01966,0.207305
1679544865.3094895,3000,0.1,50000.0,20.408833,0.157804,42.632805,0.039459,20.37264,-0.465285,40.02206,0.217892
1679544867.7474477,4500,0.11,50000.0,20.399544,0.342414,41.548241,0.067163,20.36974,-0.464766,40.0232,0.217613
1679544870.188589,6000,0.11,50000.0,20.405117,0.176353,42.461697,0.128982,20.36323,-0.51728,40.02603,0.240749
1679544872.7674387,7500,0.12,50000.0,20.387466,0.302665,42.53014,0.05686,20.34752,-0.645333,40.03295,0.299837
1679544875.3278115,9000,0.12,50000.0,20.400473,0.173703,42.503815,0.133791,20.34044,-0.704931,40.03618,0.328519
1679544877.8876867,10500,0.13,50000.0,20.380035,0.131747,42.330074,0.104713,20.34033,-0.73217,40.03628,0.341116
1679544880.4474552,12000,0.13,50000.0,20.375389,0.18342,41.911518,0.120969,20.33707,-0.786306,40.03768,0.365066
1679544883.0084112,13500,0.14,50000.0,20.369816,0.131747,42.219513,0.093265,20.33028,-0.946102,40.04062,0.437301
1679544885.5674496,15000,0.14,50000.0,20.359596,0.188278,41.703556,0.118679,20.31092,-0.944517,40.04897,0.436761
1679544888.0080614,16500,0.15,50000.0,20.364243,0.322539,42.830235,0.2572,20.30076,-1.027524,40.05359,0.476157
1679544890.4478006,18000,0.15,50000.0,20.342875,0.597687,41.545609,0.113413,20.29714,-1.057548,40.05528,0.489904
1679544892.8885748,19500,0.16,50000.0,20.363312,0.358313,42.72757,0.181872,20.29024,-1.112271,40.05807,0.513967
1679544895.3281455,21000,0.16,50000.0,20.324295,0.592829,42.411678,0.150276,20.29038,-1.293617,40.05804,0.594888
1679544897.7683458,22500,0.17,50000.0,20.386538,0.228468,42.556461,0.087312,20.26798,-1.411343,40.06768,0.649776
1679544900.2078133,24000,0.17,50000.0,20.316864,0.162662,42.022079,0.10311,20.25406,-1.410133,40.07384,0.649298
1679544902.6495497,25500,0.18,50000.0,20.368887,0.364938,42.382721,0.093036,20.24952,-1.446181,40.07582,0.665757
1679544905.088387,27000,0.18,50000.0,20.33823,0.281466,43.014507,0.121885,20.24347,-1.496246,40.0785,0.687669
1679544907.5284503,28500,0.19,50000.0,20.32058,0.792897,42.177391,0.202707,20.24347,-1.697505,40.07832,0.776273
1679544909.9681888,30000,0.19,50000.0,20.339159,0.459451,43.001343,0.329093,20.21878,-1.851986,40.08886,0.847197
1679544912.4093535,31500,0.2,50000.0,20.288994,1.173599,42.053669,0.162182,20.2,-1.851936,40.09728,0.847204
1679544914.9682105,33000,0.2,50000.0,20.343803,0.36273,42.745998,0.282843,20.19513,-1.893335,40.09936,0.866071
1679544917.5284233,34500,0.21,50000.0,20.289923,0.40557,42.006287,0.162868,20.18908,-1.94002,40.10191,0.886368
1679544920.089032,36000,0.21,50000.0,20.357738,0.564564,42.527508,0.136996,20.16543,-2.133371,40.1118,0.969917
1679544922.5484939,37500,0.22,50000.0,20.269485,0.511566,41.750938,0.255368,20.15248,-2.352696,40.11782,1.068369
1679544925.0889013,39000,0.22,50000.0,20.340088,0.639202,42.140537,0.174087,20.1386,-2.404461,40.12345,1.091736
1679544927.528946,40500,0.23,50000.0,20.269485,0.716491,41.627216,0.593313,20.13255,-2.444491,40.1261,1.10913
1679544930.0087678,42000,0.23,50000.0,20.213745,1.340101,41.498226,0.316043,20.12754,-2.445035,40.12814,1.109398
1679544932.5689187,43500,0.24,50000.0,20.270414,0.787155,41.621948,0.648722,20.106,-2.620231,40.13703,1.18396
1679544935.132067,45000,0.24,50000.0,20.212816,1.181107,41.448208,0.363895,20.07029,-2.911127,40.15233,1.311942
1679544937.5888464,46500,0.25,50000.0,20.271343,0.91435,41.78516,0.440368,20.06167,-2.980432,40.15588,1.342786
